,0,1,2,3,4,5,6,7,8,9,10,11,12,
Staff 3 Bow 3,9.378,20.421,36.2565,54.621,71.2865,84.0615,92.2,96.5945,98.6385,99.5025,99.8375,99.9515,99.991,
Hally 3 Staff 2,2.2925,6.5305,14.3305,26.7235,42.4645,59.036,73.0965,83.9815,91.6185,95.849,98.1125,99.2325,99.703,
Staff 3 Bow 2,3.249,8.464,18.436,32.8355,49.534,65.9635,79.329,88.6055,94.4325,97.51,98.957,99.615,99.878,
Staff 3 Bow 1,2.2045,6.2265,14.2685,26.5745,42.4715,58.707,73.319,84.334,91.898,96.102,98.207,99.285,99.7285,
Bow 3 Staff 2,3.6675,9.2085,19.471,34.069,51.0765,66.744,79.8905,88.966,94.5795,97.4895,98.9535,99.59,99.854,
Bow 3 Staff 1,2.683,7.093,15.777,28.782,44.8605,60.8885,75.213,85.463,92.2495,96.3,98.3475,99.3435,99.768,
,0,1,2,3,4,5,6,7,8,9,10,11,12,
Survival Rate,2.683,7.093,15.777,28.782,44.8605,60.8885,75.213,85.463,92.2495,96.3,98.3475,99.3435,99.768,
Sub 3:15 Chance,2.1115,4.9645,8.7705,12.1755,14.117,15.5925,15.8985,15.9515,15.936,15.977,15.8325,16.0245,16.0265,
Sub 3:30 Chance,2.523,6.414,12.868,20.426,28.3975,32.942,34.786,35.126,35.445,35.4845,35.472,35.467,35.7745,
Sub 3:45 Chance,2.6535,6.9565,14.977,26.4945,38.55,47.8495,53.325,56.313,57.1915,57.5055,57.501,57.483,57.6165,
,2:30,2:36,2:42,2:48,2:54,3:00,3:06,3:12,3:18,3:24,3:30,3:36,3:42,3:48,3:54,4:00,
Staff 3 Bow 3,1.753,3.9005,7.413,13.0075,20.5285,29.944,40.258,50.8525,61.1085,70.2925,78.3965,84.548,88.805,92.1235,93.93,95.2445,
Hally 3 Staff 2,0.048,0.1525,0.4115,0.968,1.95,3.888,6.961,11.2185,16.59,23.012,31.5765,40.707,49.222,57.299,63.619,70.0095,
Staff 3 Bow 2,0.081,0.266,0.661,1.731,3.2615,6.4335,11.051,16.218,24.4205,32.9875,42.7315,53.016,60.666,69.107,74.978,79.888,
Staff 3 Bow 1,0.0325,0.1155,0.2915,0.854,1.6225,3.5295,6.4565,9.839,16.059,22.819,31.038,40.7875,48.4265,57.622,64.513,70.6105,
Bow 3 Staff 2,0.176,0.47,1.024,2.4545,4.4135,8.1585,13.2685,18.6905,27.085,35.7425,45.121,54.9665,62.1415,70.016,75.634,80.4065,
Bow 3 Staff 1,0.0775,0.2095,0.5365,1.3975,2.5385,5.0425,8.7185,12.765,19.5825,26.751,35.126,44.6965,52.193,60.8555,67.3565,72.992,
